/usr/local/anaconda3/envs/hcl_utilities/bin/python /Users/user/source/historic_coastal_landfills/projects/source/utilities/python/hcl_utilities/plot_hcl_site_markers_on_map.py 
2023-02-06 12:37:58.982 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 91 of 281
2023-02-06 12:37:58.985 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 100 of 281
2023-02-06 12:37:58.991 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 109 of 281
2023-02-06 12:37:59.014 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 74 of 281
2023-02-06 12:37:59.025 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 118 of 281
2023-02-06 12:37:59.033 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 127 of 281
2023-02-06 12:37:59.050 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 101 of 281
2023-02-06 12:37:59.051 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 83 of 281
2023-02-06 12:37:59.050 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 136 of 281
2023-02-06 12:37:59.058 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 92 of 281
2023-02-06 12:37:59.072 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 110 of 281
2023-02-06 12:37:59.088 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 119 of 281
2023-02-06 12:37:59.099 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 75 of 281
